pin,address,city,sqft,neighborhood,ward,district,entity,delinquent,land_use_code,classification
25-21-415-037-0000,310 W 118TH ST,CHICAGO,3887,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$15,112.03",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-418-036-0000,132 W 118TH ST,CHICAGO,3248,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$11,845.93",2-03,STRUCTURE ‐ RESIDENTIAL
25-21-418-039-0000,134 W 118TH ST,CHICAGO,3436,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$12,224.67",2-11,STRUCTURE ‐ RESIDENTIAL
25-21-419-020-0000,11722 S PERRY AVE,CHICAGO,2997,WEST PULLMAN,34,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$7,425.07",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-300-013-0000,11567 S STATE ST,CHICAGO,2924,WEST PULLMAN,9,5,CHICAGO TRANSIT AUTHORITY ‐ RED LINE EXTENSION,"$45,553.57",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-303-051-0000,344 E KENSINGTON AVE,CHICAGO,5246,WEST PULLMAN,9,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$51,103.89",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-308-019-0000,163 E 116TH ST,CHICAGO,3846,WEST PULLMAN,9,5,CHICAGO TRANSIT AUTHORITY ‐ RED LINE EXTENSION,"$17,523.45",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-310-043-0000,11718 S INDIANA AVE,CHICAGO,3261,WEST PULLMAN,9,5,UNITED POWER,"$41,014.04",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-313-029-0000,11750 S MICHIGAN AVE,CHICAGO,6050,WEST PULLMAN,9,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$33,164.78",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-314-011-0000,125 E 117TH PL,CHICAGO,2829,WEST PULLMAN,9,5,UNITED POWER,"$19,878.88",2-11,STRUCTURE ‐ RESIDENTIAL
25-22-314-029-0000,138 E 118TH ST,CHICAGO,2828,WEST PULLMAN,9,5,UNITED POWER,"$86,679.23",2-04,STRUCTURE ‐ RESIDENTIAL
25-22-315-020-0000,11724 S PRAIRIE AVE,CHICAGO,3125,WEST PULLMAN,9,5,UNITED POWER,"$33,895.50",2-03,STRUCTURE ‐ RESIDENTIAL
25-27-109-019-0000,22 E 120TH PL,CHICAGO,4260,WEST PULLMAN,9,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$4,397.95",2-11,STRUCTURE ‐ RESIDENTIAL
25-27-117-013-0000,225 E 120TH PL,CHICAGO,3448,WEST PULLMAN,9,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$12,449.78",2-11,STRUCTURE ‐ RESIDENTIAL
25-28-101-013-0000,11919 S EMERALD AVE,CHICAGO,3088,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$35,062.34",2-11,STRUCTURE ‐ RESIDENTIAL
25-28-106-035-0000,11944 S EGGLESTON AVE,CHICAGO,3201,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$8,783.40",2-11,STRUCTURE ‐ RESIDENTIAL
25-28-113-011-0000,12023 S PARNELL AVE,CHICAGO,4630,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$8,732.00",2-11,STRUCTURE ‐ RESIDENTIAL
25-28-122-006-0000,12117 S NORMAL AVE,CHICAGO,4106,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$13,608.22",2-03,STRUCTURE ‐ RESIDENTIAL
25-28-122-021-0000,12110 S EGGLESTON AVE,CHICAGO,4620,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$6,347.88",2-03,STRUCTURE ‐ RESIDENTIAL
25-28-127-005-0000,12217 S LOWE AVE,CHICAGO,3701,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$12,204.90",2-03,STRUCTURE ‐ RESIDENTIAL
25-28-130-023-0000,12210 S EGGLESTON AVE,CHICAGO,4620,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$7,847.88",2-03,STRUCTURE ‐ RESIDENTIAL
25-28-207-034-0000,11932 S STATE ST,CHICAGO,3075,WEST PULLMAN,9,5,CCLBA ‐ INVEST SOUTH/WEST INITIATIVE (1/2 MILE BUFFER),"$12,125.08",2-03,STRUCTURE ‐ RESIDENTIAL
25-28-314-026-0000,12424 S EGGLESTON AVE,CHICAGO,3091,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$4,455.45",2-03,STRUCTURE ‐ RESIDENTIAL
25-28-314-027-0000,12428 S EGGLESTON AVE,CHICAGO,3094,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$6,384.11",2-03,STRUCTURE ‐ RESIDENTIAL
25-29-210-016-0000,12143 S GREEN ST,CHICAGO,6394,WEST PULLMAN,34,5,CITY OF CHICAGO ‐ DEPT OF PLANNING & DEVELOPMENT,"$51,192.14",2-11,STRUCTURE ‐ RESIDENTIAL
25-29-217-040-0000,12250 S GREEN ST,CHICAGO,3136,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$7,602.08",2-11,STRUCTURE ‐ RESIDENTIAL
25-32-211-004-0000,817 W VERMONT AVE,CHICAGO,3600,WEST PULLMAN,34,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$19,118.07",2-03,STRUCTURE ‐ RESIDENTIAL
25-33-115-086-0000,520 W 129TH PL,CHICAGO,4945,WEST PULLMAN,9,5,CCLBA ‐ RESIDENTIAL STRUCTURES,"$8,242.78",2-03,STRUCTURE ‐ RESIDENTIAL
20-22-203-029-0000,6312 S SAINT LAWRENCE AVE,CHICAGO,3055,WOODLAWN,20,3,CCLBA ‐ FOCUS COMMUNITY (CITY),"$35,742.84",2-11,STRUCTURE ‐ RESIDENTIAL
20-22-220-041-0000,6556 S CHAMPLAIN AVE,CHICAGO,3078,WOODLAWN,20,3,CCLBA ‐ FOCUS COMMUNITY (CITY),"$13,023.00",2-03,STRUCTURE ‐ RESIDENTIAL
29-01-300-033-0000,1880 STATE ST,CALUMET CITY,5141,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$129,282.72",2-11,STRUCTURE ‐ RESIDENTIAL
29-12-115-059-0000,361 MERRILL AVE,CALUMET CITY,5978,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$35,292.51",2-03,STRUCTURE ‐ RESIDENTIAL
29-12-118-024-0000,404 MADISON AVE,CALUMET CITY,4982,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$98,398.82",2-11,STRUCTURE ‐ RESIDENTIAL
29-12-201-024-0000,282 CRANDON AVE,CALUMET CITY,5139,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$87,638.23",2-11,STRUCTURE ‐ RESIDENTIAL
29-12-211-012-0000,355 OGLESBY AVE,CALUMET CITY,5050,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$41,156.77",2-03,STRUCTURE ‐ RESIDENTIAL
30-07-209-012-0000,405 GREENBAY AVE,CALUMET CITY,5004,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$57,895.49",2-11,STRUCTURE ‐ RESIDENTIAL
30-07-213-027-0000,810 SIBLEY BLVD,CALUMET CITY,2994,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$31,120.08",2-11,STRUCTURE ‐ RESIDENTIAL
30-08-307-006-0000,435 SIBLEY BLVD,CALUMET CITY,6224,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$45,801.93",2-03,STRUCTURE ‐ RESIDENTIAL
30-08-329-005-0000,669 FREELAND AVE,CALUMET CITY,3404,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$20,469.80",2-03,STRUCTURE ‐ RESIDENTIAL
30-08-406-025-0000,568 FORSYTHE AVE,CALUMET CITY,4660,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$30,312.51",2-03,STRUCTURE ‐ RESIDENTIAL
30-08-407-036-0000,32 MEMORIAL DR,CALUMET CITY,3237,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$59,001.79",2-11,STRUCTURE ‐ RESIDENTIAL
30-17-102-039-0000,316 154TH PL,CALUMET CITY,2948,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$11,940.02",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-103-032-0000,228 154TH PL,CALUMET CITY,2880,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$41,379.17",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-105-070-0000,418 155TH ST,CALUMET CITY,6197,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$43,752.98",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-106-048-0000,303 154TH PL,CALUMET CITY,1603,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$11,710.23",2-11,STRUCTURE ‐ RESIDENTIAL
30-17-107-012-0000,225 154TH PL,CALUMET CITY,2943,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$68,657.90",2-11,STRUCTURE ‐ RESIDENTIAL
30-17-109-009-0000,431 155TH ST,CALUMET CITY,3134,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$33,784.02",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-113-002-0000,445 155TH PL,CALUMET CITY,3107,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$21,052.69",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-118-030-0000,328 156TH PL,CALUMET CITY,4627,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$40,772.95",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-125-007-0000,423 157TH ST,CALUMET CITY,4395,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$32,108.93",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-131-012-0000,246 WARREN ST,CALUMET CITY,6882,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$48,103.87",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-201-007-0000,33 PULASKI RD,CALUMET CITY,4510,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$25,258.28",2-11,STRUCTURE ‐ RESIDENTIAL
30-17-211-006-0000,27 156TH PL,CALUMET CITY,4818,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$14,177.60",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-213-006-0000,856 STATE LINE RD,CALUMET CITY,5996,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$33,326.17",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-311-012-0000,248 ELIZABETH ST,CALUMET CITY,7290,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$38,969.57",2-03,STRUCTURE ‐ RESIDENTIAL
30-17-311-022-0000,210 ELIZABETH ST,CALUMET CITY,4554,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$30,118.33",2-03,STRUCTURE ‐ RESIDENTIAL
30-18-208-030-0000,700 GREENBAY AVE,CALUMET CITY,1670,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$24,990.20",2-11,STRUCTURE ‐ RESIDENTIAL
30-18-208-031-0000,700 GREENBAY AVE,CALUMET CITY,1857,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$24,990.20",2-11,STRUCTURE ‐ RESIDENTIAL
30-19-219-075-0000,905 163RD ST,CALUMET CITY,6510,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$37,851.17",2-03,STRUCTURE ‐ RESIDENTIAL
30-20-102-012-0000,312 SCHRUM RD,CALUMET CITY,6762,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$23,419.37",2-03,STRUCTURE ‐ RESIDENTIAL
30-20-313-031-0000,1446 FREELAND AVE,CALUMET CITY,7468,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$41,125.10",2-03,STRUCTURE ‐ RESIDENTIAL
30-20-316-012-0000,355 166TH ST,CALUMET CITY,12635,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$24,871.95",2-03,STRUCTURE ‐ RESIDENTIAL
30-20-408-037-0000,1546 KENILWORTH DR,CALUMET CITY,6323,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$23,822.58",2-03,STRUCTURE ‐ RESIDENTIAL
30-20-411-036-0000,27 165TH PL,CALUMET CITY,5123,,,4,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$27,062.09",2-03,STRUCTURE ‐ RESIDENTIAL
32-16-123-015-0000,437 WALLACE ST,CHICAGO HEIGHTS,3765,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$17,879.08",2-03,STRUCTURE ‐ RESIDENTIAL
32-19-319-019-0000,559 SHELLY LN,CHICAGO HEIGHTS,4980,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$68,234.01",2-03,STRUCTURE ‐ RESIDENTIAL
32-20-416-005-0000,1539 CHICAGO RD,CHICAGO HEIGHTS,6408,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$74,111.73",2-11,STRUCTURE ‐ RESIDENTIAL
32-21-103-001-0000,186 10TH ST,CHICAGO HEIGHTS,3319,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$29,316.60",2-03,STRUCTURE ‐ RESIDENTIAL
32-21-103-002-0000,186 10TH ST,CHICAGO HEIGHTS,3065,,,5,CCLBA ‐ ADDITIONAL SITE AGGREGATION,"$29,316.60",2-03,STRUCTURE ‐ RESIDENTIAL
32-28-106-013-0000,144 22ND ST,CHICAGO HEIGHTS,3193,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$69,475.11",2-11,STRUCTURE ‐ RESIDENTIAL
32-28-108-044-0000,259 23RD ST,CHICAGO HEIGHTS,3178,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$6,546.79",2-04,STRUCTURE ‐ RESIDENTIAL
32-28-108-045-0000,259 23RD ST,CHICAGO HEIGHTS,2774,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$15,808.81",2-04,STRUCTURE ‐ RESIDENTIAL
32-29-207-014-0000,56 MAIN ST,CHICAGO HEIGHTS,3706,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$60,680.70",2-11,STRUCTURE ‐ RESIDENTIAL
32-29-221-017-0000,2502 CHICAGO RD,CHICAGO HEIGHTS,22961,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$238,928.66",2-12,STRUCTURE ‐ MIXED USE
32-29-221-018-0000,2520 CHICAGO RD,CHICAGO HEIGHTS,21471,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$952,918.96",2-12,STRUCTURE ‐ MIXED USE
32-30-107-044-0000,1887 ANDOVER CT,CHICAGO HEIGHTS,15609,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$26,429.73",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-109-017-0000,1931 ADAMS ST,CHICAGO HEIGHTS,8832,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$10,434.73",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-110-002-0000,1950 ADAMS ST,CHICAGO HEIGHTS,6831,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$18,988.61",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-110-003-0000,1946 ADAMS ST,CHICAGO HEIGHTS,6052,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$63,605.13",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-110-004-0000,1942 ADAMS ST,CHICAGO HEIGHTS,6942,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$23,293.66",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-110-009-0000,1922 ADAMS ST,CHICAGO HEIGHTS,6829,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$14,335.02",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-110-012-0000,1910 ADAMS ST,CHICAGO HEIGHTS,11921,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$19,463.01",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-111-009-0000,512 ANDOVER ST,CHICAGO HEIGHTS,6840,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$53,923.91",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-111-023-0000,541 CONCORD DR,CHICAGO HEIGHTS,9348,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$74,960.06",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-111-025-0000,1930 CONCORD DR,CHICAGO HEIGHTS,7260,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$43,171.52",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-111-038-0000,1931 REVERE ST,CHICAGO HEIGHTS,6596,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$22,995.52",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-111-040-0000,1923 REVERE ST,CHICAGO HEIGHTS,6493,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$71,771.83",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-112-007-0000,1931 CONCORD DR,CHICAGO HEIGHTS,8008,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$34,142.66",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-112-021-0000,1954 DIVISION ST,CHICAGO HEIGHTS,8186,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$42,753.09",2-03,STRUCTURE ‐ RESIDENTIAL
32-30-213-001-0000,444 CONCORD DR,CHICAGO HEIGHTS,9283,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$50,281.83",2-03,STRUCTURE ‐ RESIDENTIAL
16-20-427-021-0000,5844 W CERMAK RD,CICERO,3246,,,16,CCLBA ‐ COMMERCIAL/INDUSTRIAL STRUCTURES,"$76,871.62",2-12,STRUCTURE ‐ MIXED USE
16-28-413-001-0000,2801 S 49TH AVE,CICERO,3401,,,16,CCLBA ‐ RESIDENTIAL STRUCTURES,"$51,177.28",2-11,STRUCTURE ‐ RESIDENTIAL
29-02-303-001-0000,927 E 142ND ST,DOLTON,3812,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$11,048.36",2-04,STRUCTURE ‐ RESIDENTIAL
29-02-303-003-0000,927 E 142ND ST,DOLTON,3036,,,6,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$14,399.29",2-04,STRUCTURE ‐ RESIDENTIAL
29-02-306-017-0000,14231 MINERVA AVE,DOLTON,4885,,,6,VILLAGE OF DOLTON,"$51,405.71",2-03,STRUCTURE ‐ RESIDENTIAL
29-03-100-033-0000,215 E 138TH ST,DOLTON,8421,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$92,711.42",2-11,STRUCTURE ‐ RESIDENTIAL
29-03-103-025-0000,13836 PARK AVE,DOLTON,6829,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$21,027.95",2-03,STRUCTURE ‐ RESIDENTIAL
29-03-103-031-0000,13902 PARK AVE,DOLTON,6917,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$48,577.64",2-11,STRUCTURE ‐ RESIDENTIAL
29-03-302-027-0000,245 E 143RD ST,DOLTON,4403,,,5,CCLBA ‐ FOCUS COMMUNITY (SUBURBS),"$33,268.44",2-03,STRUCTURE ‐ RESIDENTIAL
29-03-305-012-0000,408 JEFFERSON ST,DOLTON,4761,,,5,VILLAGE OF DOLTON,"$73,885.40",2-03,STRUCTURE ‐ RESIDENTIAL
29-03-310-001-0000,409 MONROE ST,DOLTON,4875,,,5,VILLAGE OF DOLTON,"$54,796.15",2-03,STRUCTURE ‐ RESIDENTIAL
29-03-310-015-0000,418 E 144

[truncated]
